Original_Order,Entered_By,Fishery_ID,Umbrella_Organization,Number_of_species,Target_species,Complete_Name,FB_K__1_yr_,FBK_Category,FB_Loo__cm_,FB_Habitat,FB_Migration,FB_Price,FB_Price_Quality,FB_Environment,FB_Trophic,Fish_type,Habitat,Habitat_2,Fished_Habitat,Diet,Species_growth,Adult_movement,Discrete_Movement,Migratory,Forms_aggregations,Consistent_spawning_location,A_in_fishery,MSC_certification,Stock_assessment_,Recorded_Fishery_Closure,Year,Spawning_season,Larval_dispersal_potential,Known_spatial_structure_,Host_Country,Population,Population_growth_rate_,GDP_2009__US_,GDP_from_fishing__US_,A__of_GDP_from_Fishing,Fishery_subsidies_prominent,Subsidy_as_a___of_landed_value,Poverty_index_,Human_Development_Index,Polity_,Institutional_stability,Rule_of_law,Contract_enforcement_Rank,Corruption,Catch_shares,Catch_Share_Types,itq,ivq,ieq,iq,turf,Co_op,Open_access,Limited_entry,tac,Effort_limit,Trip_limit,Size_limit,Season,Gear,mpa,Sex,Species_value,unit_of_value,Composite_Price,Gear_type,Gear_Type_Short,Use_of_catch,Short_catch_use,Species_value_fluctuations,Geographic_range_of_fishing_acti,range_spatially_defined_,Short_Range,Home_Port,Processed,Cooperative_present,Nested_Fishery,Programs_for_Co_op_Formation,Marketing,Profit_Sharing,Cooperative_Administration,co_harvest,Cooperative_TAC,Cooperative_Gear_Restrictions,Cooperative_Size_Limit,Gear_sharing,Direct_Enforcement,Codified_Penalties,Temporal_No_Take,Spatial_No_Take,Restocking,Habitat_Restoration,Gear_Shift,By_catch_avoidance,Research_support,Information_sharing,Coop_Behaviors,Co_op_form_date,Vessels__co_op_,Short_Vessels,Participants__co_op_,Short_participants,Landings__co_op_,Landing_units,Short_landings,Fishing_season__co_op_,Ecosystem_Engineering,Reporting,Spatial,Quota,Temporal,Gear0,Gov_t_Ambivalent,Gov_t_Undermining,Gov_t_Supportive,Degree_of_Co_management,Transfer_Rights,Services_provided_,legal_protection__standing,Enforcement_,Support_of_Voluntary_Regs,Financial_Services,Information_support,Conditions_for_cooperative_exist,Sunset_Clause,OECD,oneper,sea_level_vulnerability,sea_temp_vulnerability,ocean_acidification_vulnerability,ozone_uv_vulnerability,recovery_time,recovery_potential 
56,Karly,40,0,5,Spiny lobster,Panulirus interruptus,,,,,,,,,,Crustaceans,Rocky bottom,,Rocky bottom,Carnivore,Medium,1--10,10,1,1,,,1,1,0,,1,long distance,,Mexico,113724226,1.1,1.00E+12,1647677392,0.001641113,0,0.08742489,0.015,0.75,8,-0.683420257,-0.567909816,82,3.3,1,TURF,0,0,0,0,1,1,0,1,,1,0,1,1,1,1,1,,,,Trap,Trap,export,Export,,,island,1,Cedros Island,0,1,1,1,1,1,1,1,0,1,1,0,1,1,,,0,0,0,1,1,,8,1936,22,22,152,152,163,tonnes biomass,163,9-Feb,,1,1,,0,0,0,0,1,,0,1,0,1,,0,1,0,0,1,0,2.5,2.8,0.9,0.9,1.1,0.21
57,Karly,41,0,1,Alaska pollock,Theragra chalcogramma,,,91,benthopelagic,non-migratory,low,Reliable: based on ex-vessel price for this species,polar,3.45,Finfish - Pelagic,soft slope (200-2000m),,,Carnivore,Medium,100-1000,100,1,1,,,1,1,0,,1,long distance,0,United States,313232044,0.96,1.46E+13,5757808667,0.000393831,0,0.026857001,,0.902,10,0.40989339,1.525049029,8,7.5,1,"ITQ, ITEQ, IQ, CQ, CFQ, TURF, Coops",0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,Low,,low,Trawl,Trawl,Local market / Export,Local market/Export,0,Large,0,0,"Dutch Harbor / Akutan, Alaska",1,1,1,1,0,0,0,1,0,0,0,0,,,,,0,0,0,,0,0,9,1999,10,10,,,,tonnes biomass,,0.78,0,1,0,1,0,0,0,0,1,,1,1,1,0,,0,1,0,0,1,1,0,2.3,2.1,0,0.7,0.5
58,Karly,42,0,1,Alaska pollock,Theragra chalcogramma,,,91,benthopelagic,non-migratory,low,Reliable: based on ex-vessel price for this species,polar,3.45,Finfish - Pelagic,soft slope (200-2000m),,,Carnivore,Medium,100-1000,100,1,1,,,1,1,0,,1,long distance,0,United States,313232044,0.96,1.46E+13,5757808667,0.000393831,0,0.026857001,,0.902,10,0.40989339,1.525049029,8,7.5,1,"ITQ, ITEQ, IQ, CQ, CFQ, TURF, Coops",0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,Low,,low,Trawl,Trawl,Local market / Export,Local market/Export,0,Large,0,0,"Seattle, Washington",1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1998,19,19,6 companies,,280811,tonnes biomass,280811,0.78,0,1,0,1,0,0,0,0,1,,1,1,1,0,,0,1,0,0,1,1,0,2.3,2.1,0,0.7,0.5
59,Karly,43,0,1,Ben Tre hard clams,Meretrix  lyrata,,,,,,,,,,Molluscs,soft benthic,,soft benthic,Filter Feeder,,0,0,0,,,,1,,0,,,,,Vietnam,90549390,1.08,1.02E+11,1836114504,0.018001123,0,0.18490731,0.075,0.572,-7,0.192590175,-0.425830675,31,2.7,1,,0,0,0,0,1,0,0,1,1,0,,1,0,1,0,0,,US$/ton,low,Artisanal / Hand,Artisanal,Local market / Export,Local market/Export,,Small,0,0,Binh Dai District,1,1,1,1,0,1,1,1,,1,0,0,1,1,,,1,,0,0,1,1,6,1997,0,,7357,7357,3055,tonnes biomass,3055,1,1,1,1,1,0,0,0,0,1,,0,1,,,,,1,,,0,1,1.6,2.5,2.2,1.3,1.4,0
60,Karly,44,0,2,Callo de hacha (Pen shell),Atrina tuberculosa,,,,,,,,,,Molluscs,soft benthic,,soft benthic,,,0,0,0,,,,0,0,0,,0,,0,Mexico,113724226,1.1,1.00E+12,1647677392,0.001641113,0,0.08742489,0.015,0.75,8,-0.683420257,-0.567909816,82,3.3,1,TURF,0,0,0,0,1,0,0,1,0,,0,0,0,1,1,0,18-Sep,US$/kg,medium,Dive,Dive,,,1,Medium,channel,1,Punta Chueca,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,1975,20-May,13,15-60,38,,,,1,0,0,1,0,0,1,1,0,0,,1,0,0,0,,0,0,0,0,1,1,1.6,2.5,2.2,1.3,1.4,0
61,Karly,44,0,2,Callo de hacha / Pen Shell,Pinna  rugosa,,,,,,,,,,Molluscs,soft benthic,,soft benthic,,,0,0,0,,,,0,0,0,,0,,0,Mexico,113724226,1.1,1.00E+12,1647677392,0.001641113,0,0.08742489,0.015,0.75,8,-0.683420257,-0.567909816,82,3.3,1,TURF,0,0,0,0,1,0,0,1,0,,0,0,0,1,1,0,18-Sep,US$/kg,medium,Dive,Dive,,,1,Medium,channel,1,Punta Chueca,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1975,20-May,13,15-60,38,,,,1,0,0,1,0,0,1,1,0,0,,1,0,0,0,,0,0,0,0,1,0,1.6,2.5,2.2,1.3,1.4,0
62,,47,0,10,Loco,Concholepas concholepas,,,,,,,,,,Molluscs,rocky intertidal (0-30m),,rocky intertidal (0-30m),Invertivore,High,0,0,0,1,1,1,0,1,1,1996,1,,1,Chile,16888760,0.84,1.99E+11,1232358451,0.006186538,0,0.072099891,,0.783,10,0.628275196,1.25052559,68,6.7,1,"ITQ, TURF",0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,18.8,US$/kg,medium,Dive,Dive,Export,Export,0,Small,1,1,El Quisco,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,2,1957,36,36,112,112,25.4,tonnes biomass,25.4,0.33,0,1,1,1,0,0,0,0,1,,0,1,1,0,,0,1,1,1,1,1,2.5,2.8,0.9,0.9,1.1,0.21
63,,47,0,7,Loco,Concholepas concholepas,,,,,,,,,,Molluscs,rocky intertidal (0-30m),,rocky intertidal (0-30m),Invertivore,High,0,0,0,1,1,1,0,1,1,1996,1,,1,Chile,16888760,0.84,1.99E+11,1232358451,0.006186538,0,0.072099891,,0.783,10,0.628275196,1.25052559,68,6.7,1,"ITQ, TURF",0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,18,US$/kg,medium,Dive,Dive,Export,Export,0,Small,1,1,Puerto Oscuro,0,1,1,1,1,1,1,1,1,0,0,1,1,,0,0,0,0,0,0,1,1,8,1999,7,7,25,25,7.3,tonnes biomass,7.3,0.25,0,1,1,1,0,0,0,0,1,,0,1,1,0,0,1,1,1,1,1,0,2.5,2.8,0.9,0.9,1.1,0.21
64,,47,0,7,Lapas,Fissurella spp.,,,,,,,,,,Molluscs,,,rocky intertidal (0-30m),Filter Feeder,,0,0,,,,,0,1,1,,,,,Chile,16888760,0.84,1.99E+11,1232358451,0.006186538,0,0.072099891,,0.783,10,0.628275196,1.25052559,68,6.7,1,"ITQ, TURF",0,0,0,0,1,1,0,1,,0,0,,,1,0,0,3.1,US$/kg,,Dive,Dive,,,,Small,1,1,Puerto Oscuro,,1,0,,1,1,1,1,1,0,0,1,1,,0,0,0,0,0,0,1,1,7,1999,7,7,25,25,15.7,tonnes biomass,15.7,,0,1,1,1,0,0,0,0,1,,0,1,1,0,0,1,1,1,1,1,0,2.5,2.8,0.9,0.9,1.1,0.21
65,,48,0,100,Yellow-tailed emperor,Lethrinus atkinsoni,0.289999992,Medium,50,reef-associated,non-migratory,very high,Very questionable: based on ex-vessel price for species in this family,tropical,3.49,Finfish - Reef,"Reef, Lagoon, Mangroves, Seagrass, Algal beds",,,Carnivore,Medium,1--10,,,1,1,,0,0,0,,1,,,Fiji,883125,0.8,3154000000,193476031.9,0.061343067,0,0.21938879,,0.669,-4,-0.220326941,-0.755418383,65,,1,TURF,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,,,high,Artisanal,Artisanal,Local Market / Subsistence,Local Market / Subsistence,,Small,1,1,999,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,7,999,13,13,650,650,,,,1,,,1,0,0,0,0,0,1,,0,1,1,0,1,0,0,1,0,0,1,2.4,2.8,1.1,0.8,1.1,0.21
66,,48,0,100,Blackspot emperor,Lethrinus harak,0.449999988,Medium,50,reef-associated,non-migratory,very high,Very questionable: based on ex-vessel price for species in this family,tropical,3.56,Finfish - Reef,"Reef, Lagoon, Mangroves, Seagrass, Algal beds",,"Reef, Lagoon, Mangroves, Seagrass, Algal beds",Carnivore,High,1--10,,,1,,,0,0,0,,0,,,Fiji,883125,0.8,3154000000,193476031.9,0.061343067,0,0.21938879,,0.669,-4,-0.220326941,-0.755418383,65,,1,TURF,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,,,high,Artisanal,Artisanal,Local Market / Subsistence,Local Market / Subsistence,,Small,1,1,999,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,8,999,13,13,650,650,,,,1,,,1,0,0,0,0,0,1,,0,1,1,0,1,0,0,1,0,0,0,2.4,2.8,1.1,0.8,1.1,0.21
67,,48,0,100,Cake urchin,Tripneustes gratilla,,,,,,,,,,Other Invertebrates,"Reef, Lagoon, Mangroves, Seagrass, Algal beds",,"Reef, Lagoon, Mangroves, Seagrass, Algal beds",Herbivore,,1--10,10,,,,,0,0,0,,,,,Fiji,883125,0.8,3154000000,193476031.9,0.061343067,0,0.21938879,,0.669,-4,-0.220326941,-0.755418383,65,,1,TURF,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,,,,Artisanal,Artisanal,Local Market / Subsistence,Local Market / Subsistence,,Small,1,1,999,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,8,999,13,13,650,650,,,,1,,,1,0,0,0,0,0,1,,0,1,1,0,1,0,0,1,0,0,0,2.4,2.8,1.1,0.8,1.1,0.21
68,Tonya,49,0,1,Caribbean spiny lobster,Panulirus argus,,,,,,,,,,Crustaceans,Rocky Reef,,Rocky Reef,Invertivore,Medium,1--10,10,1,1,0,,0,0,0,,1,365,0,Mexico,113724226,1.1,1.00E+12,1647677392,0.001641113,0,0.08742489,0.015,0.75,8,-0.683420257,-0.567909816,82,3.3,1,TURF,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,17.23,US$/kg,high,Artisanal,Artisanal,Local market / Export,Local market/Export,,Large,1,1,Bahia de la Ascension,0,1,1,0,1,0,,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,8,1969,55,55,80,80,66.2,tonnes biomass,66.2,0.66,1,3,1,,0,0,0,0,1,,1,1,1,0,,0,,1,0,1,1,1.5,1.9,1.1,0.7,1.3,0.07
75,Karly&Tonya,50,0,3,Oyster,Crassostrea rhizophorae,,,,,,,,,,Molluscs,estuarine,,estuarine,Filter Feeder,,0,0,0,1,0,,0,0,0,,,,,Brazil,203429773,1.13,2.02E+12,1531240226,0.000756542,0,1.583148148,0.039,0.699,8,0.287988903,-0.181961392,98,3.7,1,TURF,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.09,oyster,low,,,local market,Local market,1,Cananéia estuary (Mandira Neighborhood Extractive Reserve),estuary,1,Caneneia,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1994,,,53,53,348000,oysters,,01-dic,1,0,1,0,0,0,0,0,1,,0,1,1,0,0,1,1,,0,0,1,3,2.4,1.2,0.2,1.1,0.21
76,Karly&Tonya,51,0,7,Sardinella,Sardinella brasiliensis,,,,,,,,,,Finfish - Pelagic,,,,,,10--100,100,1,1,0,,0,1,0,,,,,Brazil,203429773,1.13,2.02E+12,1531240226,0.000756542,0,1.583148148,0.039,0.699,8,0.287988903,-0.181961392,98,3.7,1,TURF,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,medium,fish base,medium,"Seine, artisanal",Seine,,,,Arraial do Cabo cape,cape,1,Arraial do Cabo,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1990,,,150,150,,,,,0,,3,0,0,0,0,0,1,,,1,1,0,1,0,,,0,0,1,2.2,0.5,0.1,0.3,0.8,0.43
77,Karly&Tonya,51,1,7,Little Tuna,Euthynnus alleteratus,,,,,,,,,,Finfish - Pelagic,,,,Carnivore,,100-1000,1000,1,1,0,,0,0,0,,,,,Brazil,203429773,1.13,2.02E+12,1531240226,0.000756542,0,1.583148148,0.039,0.699,8,0.287988903,-0.181961392,98,3.7,1,TURF,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,medium,fish base,medium,"Seine, artisanal",Seine,,,,Arraial do Cabo cape,cape,1,Arraial do Cabo,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,,,150,150,,,,,0,,3,0,0,0,0,0,1,,,1,1,0,1,0,,,0,0,0,1.5,1.9,1.1,0.7,1.3,0.07
78,Karly&Tonya,51,2,7,Chub Mackerel,Scomber  japonicus,,,,,,,,,,Finfish - Pelagic,,,,Carnivore,,100-1000,1000,1,1,0,,0,0,0,,,,,Brazil,203429773,1.13,2.02E+12,1531240226,0.000756542,0,1.583148148,0.039,0.699,8,0.287988903,-0.181961392,98,3.7,1,TURF,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,high,fish base,high,"Seine, artisanal",Seine,,,,Arraial do Cabo cape,cape,1,Arraial do Cabo,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,,,150,150,,,,,0,,3,0,0,0,0,0,1,,,1,1,0,1,0,,,0,0,0,2,2.5,1.7,1.9,1.2,0.14
79,Tonya,52,0,5,Brown shrimp,Farfantepenaeus  californiensis,,,,,,,,,,Crustaceans,estuarine,,estuarine,,,1--10,10,1,1,1,1,0,1,0,0,1,,,Mexico,113724226,1.1,1.00E+12,1647677392,0.001641113,0,0.08742489,0.015,0.75,8,-0.683420257,-0.567909816,82,3.3,1,TURF,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,4.3,US$/kg,low,Trawl,Trawl,Local market / Export,Local market/Export,,Local market / Export,,0,,,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1942,32,32,64,64,,,,September to March,0,0,1,1,0,0,0,0,1,,1,1,1,1,1,1,0,1,0,1,1,1.9,2.8,0.9,0.9,0.8,0.43
80,Tonya,52,0,5,Blue Shrimp,Litopenaeus  stylirostris,,,,,,,,,,Crustaceans,estuarine,,estuarine,,,1--10,10,1,1,1,1,0,1,0,0,1,,,Mexico,113724226,1.1,1.00E+12,1647677392,0.001641113,0,0.08742489,0.015,0.75,8,-0.683420257,-0.567909816,82,3.3,1,TURF,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,4.3,US$/kg,low,Trawl,Trawl,Local market / Export,Local market/Export,,Local market / Export,,0,,,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,4,1942,32,32,64,64,,,,September to March,0,0,1,1,0,0,0,0,1,,1,1,1,1,1,1,0,1,0,1,0,1.9,2.8,0.9,0.9,0.8,0.43
84,Dan,53,0,9,Topshell,Batillus cornutus,,,,,,,,,,Molluscs,Rocky Reef,,Rocky Reef,Herbivore,,1--10,10,,,,,0,0,1,1989,1,,,"Korea, South",48754657,0.23,9.86E+11,4232801555,0.004291596,0,0.091638878,,0.877,8,0.21282693,0.999382508,5,5.5,1,"TURF, Co-op",0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,3,US$/kg,low,Dive,Dive,Local market/Export,Local market/Export,0,253 km,0,0,Many,0,1,0,1,1,1,1,0,0,1,0,,1,1,0,0,0,1,0,0,0,1,4,1300,,,5000,5000,1000,tonnes,1000,8-Jun,1,0,1,0,0,0,,,,,0,1,1,1,1,0,1,0,0,0,1,1.5,1.9,1.1,0.7,1.3,0.07
85,Dan,53,0,9,Abalone,Haliotis  sp.,,,,,,,,,,Molluscs,Rocky Reef,,Rocky Reef,Herbivore,Medium,1--10,10,0,1,0,,0,0,1,2000,1,Check other abalone,1,"Korea, South",48754657,0.23,9.86E+11,4232801555,0.004291596,0,0.091638878,,0.877,8,0.21282693,0.999382508,5,5.5,1,"TURF, Co-op",0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,290,US$/kg,high,Dive,Dive,Local market/Export,Local market/Export,0,253 km,0,0,Many,0,1,0,1,1,1,1,1,0,1,0,,1,1,0,0,0,1,0,0,0,1,7,1300,,,5000,5000,2,tonnes,2,0,1,0,1,0,0,0,,,,,0,1,1,1,1,0,1,0,0,0,0,1.5,1.9,1.1,0.7,1.3,0.07
86,Dan,54,0,999,Acanthuridae,,,,,,,,,,,Finfish - Reef,,,,Herbivore,,1--10,10,0,1,,,0,0,0,0,,,,Papua New Guinea,6187591,1.99,8809000000,1048872878,0.119068325,0,0.352519662,,0.431,4,-0.611518921,-0.974627836,163,2.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,Artisianal,Artisanal,Subsistence/Local Market,Local Market / Subsistence,,5.5 km^2,1,1,Ahus Island,0,1,0,0,0,1,0,1,0,1,1,,0,0,1,1,0,0,0,0,0,1,7,999,,,600,600,,,,0,0,0,2,0,0,0,,,,Low,0,0,1,0,0,0,0,0,0,0,1,2.4,2.8,1.1,0.8,1.1,0.21
87,Dan,54,0,999,Mulllidae (goatfish),,,,,,,,,,,Finfish - Reef,,,,Invertivore,Medium,10--100,100,0,1,,,0,0,0,0,,,,Papua New Guinea,6187591,1.99,8809000000,1048872878,0.119068325,0,0.352519662,,0.431,4,-0.611518921,-0.974627836,163,2.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,Artisianal,Artisanal,Subsistence/Local Market,Local Market / Subsistence,,5.5 km^2,1,1,Ahus Island,0,1,0,0,0,1,0,1,0,1,0,,0,0,1,1,0,0,0,0,0,1,6,999,,,600,600,,,,0,0,0,2,0,0,0,,,,Low,0,0,1,0,0,0,0,0,0,0,0,2.2,0.5,0.1,0.3,0.8,0.43
88,Dan,55,0,4,Tehuelche scallop,Aequipecten tehuelchus,,,,,,,,,,Molluscs,,,,Filter Feeder,Low,0,0,0,1,0,,0,1,1,"1974, 1996",1,20,1,Argentina,41769726,1.02,3.51E+11,2800399634,0.007978347,0,0.247428601,0.011,0.775,8,-0.016068056,-0.663375138,45,2.9,0,0,0,0,0,0,0,0,0,1,1,0,0,1,,1,0,0,,,,Dive,Dive,Local market/Export,Local market/Export,1,814 km^2,1,1,,,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,1,4,1993,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
89,Dan,56,0,999,Bonga shad,Ethmalosa fimbriata,,,,,,,,,,Freshwater & Diadromous,,,,Planktivore,,10--100,100,1,1,0,,0,0,0,0,1,,,"Gambia, the",1797860,2.4,1040000000,31146577.76,0.029948632,0,0.305712543,0.324,0.39,-5,0.262985222,-0.429832142,68,2.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,High,,,Surrounding net,Surrounding net,Local market/Export,Local market/Export,,,0,0,,,1,1,1,1,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,,2,1988,112,112,,,3865,tonnes,3865,0,0,0,0,0,0,0,,,,,0,1,0,0,0,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA
90,Dan,57,0,2,mangrove cockle,Anadara tuberulosa,,,,,,,,,,Molluscs,Mangrove,,Mangrove,Filter Feeder,Low,0,0,0,0,0,,0,0,0,0,1,,,Ecuador,15007343,1.44,61490000000,391388187.4,0.006365071,,0.163074603,0.009,0.695,5,-0.748772135,-1.282997155,99,2.2,1,TURF,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,16,,medium,Hand,Hand,Local market,Local market,1,5.2 km^2,1,1,"Costa Rica, Ecuador",0,0,1,1,0,1,1,0,0,0,0,,1,0,1,1,0,1,0,0,0,1,2,2000,,,40,40,,,,0,0,1,2,0,0,0,,,,,0,1,1,0,0,1,1,1,1,0,1,3,2.4,1.2,0.2,1.1,0.21
91,Karly,58,,999,King fish,Scomberomorus  commerson,,,,,,,,,,Finfish - pelagic,Pelagic-neritic,,,Carnivore,,10--100,100,1,1,1,1,0,1,0,,1,,,Oman,3027959,2.02,53780000000,140196958.1,0.002606861,0,0.308119631,,,-8,0.812206129,0.683490292,104,5.5,1,,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1.35,OMR (oman rial) per kg,low,Artisanal,Artisanal,subsistence / local market,Local Market / Subsistence,,Al-Batinah coast,,0,"Barka, Musna and Suwaiq",0,0,0,0,0,0,,0,0,1,0,,1,0,1,1,0,,0,0,0,,6,1900,4158,4158,,,,,,,1,0,0,0,0,0,,,,,0,0,1,,0,0,0,0,0,0,1,1.5,2.9,2.5,2.8,1.2,0.14
92,Karly,59,,999,Carribean Spiny Lobster,Panuliris  argus,,,,,,,,,,Crustaceans,Demersal,,sea grass beds,Invertivore,,1--10,10,1,1,0,,0,1,0,,1,365,0,Belize,321115,2.06,1431000000,65052594.15,0.045459535,0,0.162821935,0.024,0.694,,0.077101238,-0.382262966,168,,0,,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,24.07,2009,high,"Dive, traps",Dive,export,Export,,all of belize coast,,0,Belize City,0,1,1,1,1,1,1,,0,0,0,,0,0,0,0,0,0,0,0,0,0,4,1966,,,700,700,642,metric tons,642,6.5-2.5,0,1,0,0,0,0,0,0,1,,0,1,1,1,1,0,1,1,0,0,1,2.6,2.1,1.4,0.5,1,0.29
93,Karly,59,,999,Queen Conch,Strombus  gigas,,,,,,,,,,Other Invertebrates,Demersal,,sea grass beds,Herbivore,,1--10,10,0,1,0,,0,1,0,,1,medium,1,Belize,321115,2.06,1431000000,65052594.15,0.045459535,0,0.162821935,0.024,0.694,,0.077101238,-0.382262966,168,,0,,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,9.1,belize $ 2003 dollars per pound,medium,Dive,Dive,export,Export,,all of belize coast,,0,Belize City,0,1,1,1,1,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,1966,,,700,700,279,metric tons,279,10-Jun,0,1,0,0,0,0,0,0,1,,0,1,1,1,1,0,1,1,0,0,0,2.6,2.1,1.4,0.5,1,0.29
94,Karly,60,,20,Kadal Shrimp,Metapenaeus  dobsoni,,,,,,,,,,Crustaceans,Demersal,,estuarine,,High,1--10,10,1,,1,0,0,0,0,,1,,,India,1189172906,1.34,1.43E+12,3065580546,0.002143763,0,1.662514779,0.296,0.519,9,-1.187927632,0.049102192,182,3.4,1,,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,,,,Artisanal,Artisanal,,,1,Vallarpadam in central Kerala (south India),"lagoon/estuary, island",1,Vivekananda Chandrika Dheevara Sabha,0,1,1,0,0,1,1,0,0,1,0,,1,1,1,0,0,,0,0,0,,2,1980,,,21,21,,,,,0,0,3,0,0,0,,,,,0,1,1,0,0,0,,0,0,0,1,2.2,0.5,0.1,0.3,0.8,0.43
95,Karly,60,,20,Speckled Shrimp,Metapenaeus  monoceros,,,,,,,,,,Crustaceans,Demersal,,estuarine,,High,1--10,10,1,,1,0,0,0,0,,,,,India,1189172906,1.34,1.43E+12,3065580546,0.002143763,0,1.662514779,0.296,0.519,9,-1.187927632,0.049102192,182,3.4,1,,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,very high,fish base,high,Artisanal,Artisanal,,,1,Vallarpadam in central Kerala (south India),"lagoon/estuary, island",1,Vivekananda Chandrika Dheevara Sabha,0,1,1,0,0,1,1,1,0,1,0,,1,1,1,0,0,,0,0,0,,7,1980,,,21,21,,,,,0,0,3,0,0,0,,,,,0,1,1,0,0,0,,0,0,0,0,2.2,0.5,0.1,0.3,0.8,0.43
96,Karly,60,,20,Indian White Prawn,Paeneus  indicus,,,,,,,,,,Crustaceans,Demersal,,estuarine,Detritivore,,1--10,10,1,,1,0,0,0,0,,,,,India,1189172906,1.34,1.43E+12,3065580546,0.002143763,0,1.662514779,0.296,0.519,9,-1.187927632,0.049102192,182,3.4,1,,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,very high,fish base,high,Artisanal,Artisanal,,,1,Vallarpadam in central Kerala (south India),"lagoon/estuary, island",1,Vivekananda Chandrika Dheevara Sabha,0,1,1,0,0,1,1,1,0,1,0,,1,1,1,0,0,,0,0,0,,7,1980,,,21,21,,,,,0,0,3,0,0,0,,,,,0,1,1,0,0,0,,0,0,0,0,2.2,0.5,0.1,0.3,0.8,0.43
97,Karly,61,,1,white-spined sea urchin,Tripneustes  ventricosus,,,,,,,,,,Other Invertebrates,Demersal,,sea grass beds,Herbivore,,1--10,10,0,1,0,0,0,,1,"1987-1990, 1993, 1994,1996-200",1,medium,1,St. Lucia,173765,1.2,1000000000,3528000,0.003528,0,0.305839002,,,,0.749771129,0.839379291,165,7,0,,0,0,0,0,0,0,0,1,0,,0,1,1,,1,0,3.79,US$ per urchin,medium,Dive,Dive,local market / export,Local market/Export,,Vieux-Fort,,0,Vieux-Fort,0,1,0,1,0,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,1,1,7,1989,,,,,,,,,0,0,0,0,0,0,,,,,0,1,0,1,0,0,1,0,0,0,1,2.6,2.1,1.4,0.5,1,0.29
