Complete_Name,VulnerabilityIndex,RiskOfImpact
Clupanodon thrissa,78,82
Clupea harengus,28,53
Clupea harengus membras,57,72
Clupea pallasii pallasii,29,59
Clupeonella cultriventris,58,68
Coelorinchus marinii,28,51
Cololabis saira,25,59
Concholepas concholepas,50,57
Conger conger,38,56
Conger myriaster,72,66
Conger oceanicus,48,63
Conger orbignianus,38,59
Conodon nobilis,47,62
Coregonus albula,60,71
Coregonus lavaretus,66,65
Coregonus oxyrinchus,56,62
Coris julis,29,67
Coryphaena hippurus,61,77
Coryphaenoides rupestris,38,53
Crangon crangon,36,56
Crassostrea gigas,47,56
Crassostrea iredalei,60,61
Crassostrea rhizophorae,52,67
Crassostrea virginica,47,62
Crenidens crenidens,49,59
Cryodraco antarcticus,62,59
Ctenolabrus rupestris,16,57
Cyclopterus lumpus,28,47
Cynomacrurus piriei,66,62
Cynoscion analis,45,56
Cynoscion nebulosus,58,65
Cynoscion regalis,56,62
Cynoscion striatus,79,79
Cyttus novaezealandiae,44,55
Cyttus traversi,68,66
Dalatias licha,38,75
Dasyatis akajei,81,74
Dasyatis centroura,39,57
Dasyatis pastinaca,53,58
Deania calcea,61,73
Decapterus maruadsi,38,74
Decapterus russelli,41,73
Dentex angolensis,45,57
Dentex congoensis,72,65
Dentex dentex,51,61
Dentex macrophthalmus,28,51
Dentex maroccanus,18,48
Diagramma picta,80,85
Diastobranchus capensis,62,66
Dicentrarchus labrax,48,59
Dicentrarchus punctatus,73,82
Dicologlossa cuneata,5,45
Diplectrum formosum,41,60
Diplodus annularis,39,56
Diplodus argenteus argenteus,52,64
Diplodus cervinus cervinus,28,50
Diplodus puntazzo,33,52
Diplodus sargus sargus,30,52
Diplodus vulgaris,29,50
Dipturus batis,39,55
Dipturus laevis,59,60
Dipturus linteus,53,58
Dipturus oxyrinchus,40,55
Dissostichus eleginoides,48,56
Dissostichus mawsoni,87,76
Dorosoma cepedianum,48,78
Doryteuthis pealeii,7,67
Dosidicus gigas,38,73
Drepane punctata,68,81
Dussumieria acuta,62,77
Dussumieria elopsoides,51,76
Echinorhinus brucus,38,74
Echinus esculentus,39,52
Elagatis bipinnulata,72,81
Electrona carlsbergi,18,42
Eledone cirrhosa,23,72
Eleginops maclovinus,93,84
Eleginus gracilis,40,55
Eleginus nawaga,66,62
Eleutheronema tetradactylum,83,76
Elops lacerta,84,72
Elops saurus,88,87
Emmelichthys nitidus nitidus,8,42
Enchelyopus cimbrius,8,41
Engraulis anchoita,21,62
Engraulis capensis,32,69
Engraulis encrasicolus,15,61
Engraulis japonicus,0,65
Engraulis mordax,23,60
Engraulis ringens,41,60
Ensis directus,59,61
Eopsetta jordani,45,58
Epigonus telescopus,31,53
Epinephelus aeneus,43,56
Epinephelus analogus,88,89
Epinephelus areolatus,52,77
Epinephelus chlorostigma,73,83
Epinephelus coeruleopunctatus,66,79
Epinephelus coioides,73,83
Epinephelus fasciatus,54,78
Epinephelus fuscoguttatus,84,86
Epinephelus goreensis,83,73
Epinephelus guttatus,81,87
Epinephelus marginatus,38,78
Epinephelus morio,50,78
Epinephelus morrhua,81,74
Epinephelus multinotatus,76,84
Epinephelus polyphekadion,77,83
Epinephelus striatus,77,87
Epinephelus summana,86,87
Epinephelus tauvina,77,84
Erimacrus isenbeckii,36,54
Ethmalosa fimbriata,58,82
Ethmidium maculatum,57,69
Etmopterus granulosus,29,54
Etmopterus spinax,13,59
Etrumeus teres,17,69
Etrumeus whiteheadi,47,74
Euphausia superba,58,54
Euthynnus affinis,68,83
Euthynnus alletteratus,43,75
Euthynnus lineatus,80,85
Eutrigla gurnardus,29,49
Farfantepenaeus aztecus,27,55
Farfantepenaeus brasiliensis,48,64
Farfantepenaeus brevirostris,32,53
Farfantepenaeus californiensis,26,52
Farfantepenaeus duorarum,38,59
Farfantepenaeus notialis,46,64
Farfantepenaeus paulensis,41,57
Fenneropenaeus chinensis,52,59
Fenneropenaeus indicus,54,61
Fenneropenaeus merguiensis,60,63
Fistularia tabacaria,55,81
Gadus macrocephalus,46,58
Gadus morhua,38,53
Gadus ogac,44,54
Galeichthys feliceps,51,60
Galeocerdo cuvier,55,76
Galeoides decadactylus,70,66
Galeorhinus galeus,61,75
Galeus melastomus,34,67
Gasterosteus aculeatus aculeatus,26,48
Genyonemus lineatus,29,45
Genypterus blacodes,44,57
Genypterus capensis,62,62
Genypterus chilensis,81,74
Genypterus maculatus,87,76
Gerres nigri,64,61
Gerres oblongus,70,81
Gerres oyena,57,61
Ginglymostoma cirratum,62,80
Girella nigricans,74,73
Girella tricuspidata,79,77
Glossanodon semifasciatus,42,57
Glycymeris glycymeris,42,58
Glyptocephalus cynoglossus,42,53
Glyptocephalus zachirus,32,51
Gnathanodon speciosus,81,85
Gobionotothen acuta,70,68
Gobionotothen gibberifrons,44,50
Gobius niger,13,44
Grammatorcynus bilineatus,88,87
Grammoplites suppositus,59,65
Gymnosarda unicolor,83,86
Gymnoscopelus nicholsi,5,42
Gymnothorax unicolor,88,82
Gymnura altavela,56,62
Halargyreus johnsonii,11,43
Haliotis gigantea,72,75
Haliotis midae,55,64
Haliotis rubra,72,77
Haliotis tuberculata,42,57
Haliporoides diomedeae,27,56
Haliporoides sibogae,31,54
Haliporoides triarthrus,48,58
Halobatrachus didactylus,38,54
Harpadon nehereus,50,57
Helicolenus dactylopterus,5,45
Hemiramphus brasiliensis,45,78
Heptranchias perlo,39,74
Herklotsichthys quadrimaculatus,55,78
Heterocarpus reedi,59,64
Heterocarpus vicarius,35,53
Hexanchus griseus,38,72
Hilsa kelee,57,76
Himantura gerrardi,50,59
Hippoglossoides elassodon,30,48
Hippoglossoides platessoides,46,55
Hippoglossus hippoglossus,44,55
Hippoglossus stenolepis,46,56
Homarus americanus,49,56
Homarus gammarus,52,63
Hoplostethus atlanticus,54,59
Hoplostethus mediterraneus mediterraneus,8,43
Huso huso,69,66
Hydrolagus colliei,46,58
Hydrolagus mirabilis,16,49
Hydrolagus novaezealandiae,76,71
Hyperoglyphe antarctica,48,57
Hyperoglyphe bythites,68,86
Hypomesus pretiosus,72,76
Hypoptychus dybowskii,12,47
Hyporhamphus ihi,73,80
Hyporhamphus sajori,76,85
Hyporthodus flavolimbatus,75,75
Hyporthodus nigritus,75,75
Hyporthodus niveatus,54,66
Ibacus ciliatus,29,52
Ilisha africana,72,86
Ilisha elongata,37,71
Illex argentinus,27,63
Illex coindetii,0,64
Illex illecebrosus,0,50
Isacia conceptionis,47,57
Istiophorus albicans,39,77
Istiophorus platypterus,45,72
Isurus oxyrinchus,61,79
Isurus paucus,51,78
Jasus edwardsii,78,83
Jasus frontalis,74,72
Jasus lalandii,88,78
Jasus novaehollandiae,80,80
Jasus paulensis,72,77
Jasus tristani,60,60
Joturus pichardi,88,87
Kathetostoma giganteum,64,63
Katsuwonus pelamis,39,71
Konosirus punctatus,64,82
Kyphosus cinerascens,59,79
Kyphosus saltatrix,66,83
Labrus bergylta,80,83
Labrus merula,83,87
Lactarius lactarius,64,79
Laemonema longipes,43,55
Lamna nasus,61,73
Lampanyctodes hectoris,56,67
Lampris guttatus,38,55
Lampris immaculatus,46,54
Larimichthys crocea,82,74
Larimichthys polyactis,69,73
Lateolabrax japonicus,52,76
Lates calcarifer,73,70
Leiostomus xanthurus,47,62
Lepidocybium flavobrunneum,40,58
Lepidonotothen larseni,33,45
Lepidonotothen mizops,61,65
Lepidonotothen nudifrons,51,52
Lepidonotothen squamifrons,54,56
Lepidoperca pulchella,45,55
Lepidopsetta bilineata,33,51
Lepidopus caudatus,38,56
Lepidorhombus boscii,30,50
Lepidorhombus whiffiagonis,28,50
Lepidorhynchus denticulatus,44,56
Lepidotrigla cavillone,17,50
Lethrinus atlanticus,74,86
Lethrinus borbonicus,68,86
Lethrinus harak,72,82
Lethrinus lentjan,63,65
Lethrinus mahsena,73,85
Lethrinus microdon,88,87
Lethrinus miniatus,81,85
Lethrinus nebulosus,71,69
Lethrinus obsoletus,85,78
Lethrinus xanthochilus,76,83
Leucoraja circularis,47,56
Leucoraja erinacea,65,66
Leucoraja fullonica,43,56
Leucoraja naevus,34,53
Lichia amia,57,81
Limanda aspera,30,49
Limanda ferruginea,73,68
Limanda limanda,41,54
Limulus polyphemus,76,78
Liocarcinus depurator,31,52
Lithodes aequispinus,35,52
Lithodes antarcticus,49,62
Lithodes maia,33,47
Lithodes murrayi,44,57
Lithognathus lithognathus,70,64
Lithognathus mormyrus,32,51
Litopenaeus occidentalis,52,60
Litopenaeus setiferus,56,66
Litopenaeus stylirostris,36,54
Litopenaeus vannamei,47,58
Littorina littorea,64,65
Liza aurata,34,66
Liza haematocheilus,87,80
Liza klunzingeri,70,69
Liza saliens,38,53
Lobotes surinamensis,63,66
Loligo forbesii,38,73
Loligo gahi,7,51
Loligo opalescens,35,62
Loligo vulgaris,56,75
Lophius americanus,39,51
Lophius budegassa,38,56
Lophius piscatorius,45,57
Lophius vaillanti,25,47
Lophius vomerinus,36,51
Lopholatilus chamaeleonticeps,38,58
Loxechinus albus,36,53
Lutjanus argentimaculatus,78,84
Lutjanus argentiventris,79,85
Lutjanus bohar,81,85
Lutjanus campechanus,51,80
Lutjanus fulviflamma,37,73
Lutjanus gibbus,63,79
Lutjanus johnii,89,88
Lutjanus jordani,86,87
Lutjanus kasmira,50,76
Lutjanus malabaricus,80,85
Lutjanus purpureus,80,77
Lutjanus quinquelineatus,57,78
Lutjanus synagris,73,86
Macrodon ancylodon,42,57
Macroramphosus scolopax,0,47
Macrourus berglax,38,52
Macrourus holotrachys,49,58
Macrourus whitsoni,65,62
Macruronus magellanicus,69,72
Macruronus novaezelandiae,62,64
Mactra sachalinensis,74,73
Mactromeris polynyma,32,50
Maja squinado,31,54
Makaira indica,68,79
Makaira mazara,85,87
Makaira nigricans,50,75
Mallotus villosus,27,51
Mancopsetta maculata,72,69
Marsupenaeus japonicus,58,62
Martialia hyadesi,13,53
Maurolicus muelleri,23,49
Megabalanus psittacus,43,54
Megalaspis cordyla,78,83
Megalops atlanticus,65,82
Megalops cyprinoides,80,86
Meganyctiphanes norvegica,28,63
Melanogrammus aeglefinus,41,54
Melicertus kerathurus,36,57
Melicertus latisulcatus,31,53
Mene maculata,42,75
Menidia menidia,50,72
Menippe mercenaria,60,69
Menticirrhus littoralis,59,68
Menticirrhus saxatilis,44,58
Mercenaria mercenaria,50,62
Meretrix lusoria,65,66
Merlangius merlangus,45,56
Merluccius albidus,26,54
Merluccius angustimanus,30,49
Merluccius australis,60,63
Merluccius bilinearis,46,54
Merluccius capensis,85,74
Merluccius gayi gayi,60,61
Merluccius gayi peruanus,87,76
Merluccius hubbsi,44,60
Merluccius merluccius,38,55
Merluccius paradoxus,56,61
Merluccius polli,60,58
Merluccius productus,50,55
Merluccius senegalensis,75,68
Mesodesma donacium,52,58
Metanephrops andamanicus,44,59
Metanephrops challengeri,39,53
Metanephrops mozambicus,49,58
Metapenaeus endeavouri,71,73
Metapenaeus joyneri,43,58
Metapenaeus monoceros,51,61
Meuschenia scaber,52,64
Microchirus variegatus,10,42
Microcosmus sulcatus,71,72
Microgadus proximus,37,55
Microgadus tomcod,58,61
Micromesistius australis,50,57
Micromesistius poutassou,20,45
Micropogonias furnieri,44,61
Micropogonias undulatus,58,66
Microstomus kitt,37,51
Microstomus pacificus,44,56
Miichthys miiuy,96,83
Mimachlamys varia,46,59
Mithrax armatus,65,66
Mobula mobular,42,58
Mola mola,38,70
Molva dypterygia,48,56
Molva molva,38,57
Monotaxis grandoculis,74,82
Mora moro,38,56
Morone americana,50,57
Morone saxatilis,59,64
Mugil cephalus,56,61
Mugil liza,55,61
Mugil soiuy,48,57
Mulloidichthys flavolineatus,53,77
Mullus argentinae,36,55
Mullus barbatus barbatus,18,46
Mullus surmuletus,28,50
Muraena helena,53,77
Muraenesox cinereus,80,74
Muraenolepis marmorata,44,60
Muraenolepis microps,52,44
Mustelus asterias,49,69
Mustelus canis,60,82
Mustelus henlei,60,80
Mustelus lenticulatus,75,79
Mustelus mustelus,54,78
Mustelus schmitti,79,84
Mya arenaria,40,53
Mycteroperca bonaci,89,87
Mycteroperca microlepis,64,68
Mycteroperca phenax,52,80
Mycteroperca venenosa,87,88
Mycteroperca xenarcha,86,78
Myliobatis aquila,48,58
Mytilus chilensis,40,55
Mytilus coruscus,69,78
Mytilus edulis,40,52
Mytilus galloprovincialis,46,59
Mytilus planulatus,50,65
Mytilus platensis,50,61
Myxine glutinosa,38,54
Naso unicornis,79,84
Necora puber,49,60
Negaprion brevirostris,73,82
Nemadactylus bergi,42,57
Nemadactylus macropterus,33,53
Nemadactylus monodactylus,67,71
Nematalosa nasus,24,67
Nematopalaemon schmitti,62,72
Nemipterus japonicus,50,58
Nemipterus randalli,38,56
Nemipterus virgatus,43,56
Neocyttus rhomboidalis,36,54
Neopagetopsis ionah,68,61
Nephrops norvegicus,29,53
Netuma thalassina,54,60
Nezumia aequalis,0,47
Nibea mitsukurii,90,82
Normanichthys crockeri,39,53
Notorynchus cepedianus,60,76
Notothenia coriiceps,59,58
Notothenia rossii,50,54
Nototodarus sloanii,38,59
Oblada melanura,36,54
Octopus vulgaris,23,69
Ocyurus chrysurus,80,86
Odontesthes regia,39,59
Ommastrephes bartramii,7,62
Oncorhynchus gorbuscha,48,55
Oncorhynchus keta,64,66
Oncorhynchus kisutch,72,69
Oncorhynchus masou masou,49,62
Oncorhynchus mykiss,52,61
Oncorhynchus nerka,72,76
Oncorhynchus tshawytscha,50,59
Ophiodon elongatus,47,58
Opisthonema libertate,44,72
Opisthonema oglinum,52,82
Orcynopsis unicolor,45,70
Orthopristis chrysoptera,75,77
Osmerus eperlanus,71,76
Osmerus mordax mordax,28,52
Ostrea chilensis,40,59
Ostrea edulis,49,59
Ostrea lurida,40,51
Ostrea lutaria,46,55
Otolithes ruber,80,75
Oxynotus centrina,38,74
Oxynotus paradoxus,36,58
Pagellus acarne,60,64
Pagellus bellottii,26,49
Pagellus bogaraveo,39,56
Pagellus erythrinus,41,56
Pagrus auratus,54,61
Pagrus auriga,37,55
Pagrus caeruleostictus,41,56
Pagrus pagrus,50,61
Palaemon longirostris,66,66
Palaemon serratus,44,59
Palinurus delagoae,60,62
Palinurus elephas,36,58
Palinurus gilchristi,37,53
Palinurus mauritanicus,46,62
Pampus argenteus,47,57
Pandalopsis japonica,30,52
Pandalus borealis,26,49
Pandalus goniurus,39,55
Pandalus hypsinotus,35,54
Pandalus kessleri,38,53
Pandalus montagui,29,50
Panopea abrupta,44,57
Panulirus argus,64,71
Panulirus cygnus,69,74
Panulirus gracilis,61,63
Panulirus homarus,39,56
Panulirus longipes,32,54
Panulirus regius,45,60
Paphies australis,56,66
Paracentrotus lividus,44,58
Parachaenichthys georgianus,88,77
Paradiplospinus gracilis,65,67
Paralabrax humeralis,39,53
Paralichthys californicus,59,63
Paralichthys dentatus,54,63
Paralichthys olivaceus,44,56
Paralithodes brevipes,45,61
Paralithodes camtschaticus,39,53
Paralithodes platypus,69,70
Paralomis aculeata,33,49
Paralomis formosa,29,47
Paralomis granulosa,58,65
Paralomis spinosissima,33,49
Paralonchurus peruanus,81,71
Parapenaeopsis atlantica,56,61
Parapenaeus longirostris,31,61
Parapercis colias,64,67
Parapristipoma octolineatum,44,57
Parastromateus niger,78,74
Paratrachichthys trailli,28,48
Paristiopterus labiosus,45,60
Parona signata,67,71
Parophrys vetulus,31,49
Patagonotothen brevicauda brevicauda,31,50
Patagonotothen ramsayi,42,58
Patinopecten caurinus,55,62
Pecten jacobaeus,55,65
Pecten maximus,41,54
Pecten novaezelandiae,56,63
Pecten yessoensis,42,58
Pegusa lascaris,20,46
Pelates quadrilineatus,50,76
Pellona ditchela,51,75
Penaeus monodon,36,55
Penaeus penicillatus,48,62
Penaeus semisulcatus,34,54
Pennahia anea,74,71
Pennahia argentata,41,52
Pentaceros decacanthus,23,50
Pentanemus quinquarius,67,62
Peprilus simillimus,37,49
Peprilus triacanthus,23,48
Percophis brasiliensis,42,58
Perna canaliculus,61,63
Perna perna,41,59
Perna viridis,40,56
Petromyzon marinus,48,57
Petrus rupestris,91,78
Phycis blennoides,43,57
Phycis phycis,67,68
Pitar rostratus,60,62
Placopecten magellanicus,43,53
Platichthys flesus,35,54
Platichthys stellatus,60,62
Platycephalus indicus,78,73
Plectorhinchus gaterinus,64,86
Plectorhinchus macrolepis,79,69
Plectorhinchus mediterraneus,39,56
Plectorhinchus pictus,75,82
Plectorhinchus schotaf,74,83
Plectropomus areolatus,80,85
Plectropomus leopardus,84,86
Plectropomus pessuliferus,81,86
Pleoticus muelleri,48,62
Pleoticus robustus,30,54
Plesiopenaeus edwardsianus,36,65
Pleuragramma antarctica,56,48
Pleurogrammus azonus,37,57
Pleurogrammus monopterygius,46,56
Pleuroncodes monodon,40,55
Pleuroncodes planipes,39,58
Pleuronectes platessa,44,56
Pleuronectes quadrituberculatus,62,63
Pleuronichthys decurrens,28,50
Pogonias cromis,55,67
Pogonophryne permitini,50,53
Pollachius pollachius,83,79
Pollachius virens,38,53
Pollicipes pollicipes,54,65
Polydactylus quadrifilis,87,75
Polyprion americanus,50,58
Polyprion oxygeneios,69,68
Pomacanthus maculosus,86,89
Pomadasys argenteus,74,72
Pomadasys incisus,33,52
Pomadasys jubelini,81,71
Pomadasys kaakan,72,82
Pomadasys stridens,56,81
Pomatomus saltatrix,40,75
Pontinus kuhlii,29,49
Portunus pelagicus,35,55
Portunus trituberculatus,33,53
Priacanthus macracanthus,55,77
Prionace glauca,55,76
Pristipomoides filamentosus,75,73
Pristipomoides multidens,75,73
Prolatilus jugularis,62,64
Promethichthys prometheus,40,57
Protothaca staminea,46,55
Protothaca thaca,48,59
Psenopsis anomala,51,59
Psettichthys melanostictus,49,60
Psettodes belcheri,89,76
Psettodes bennettii,75,70
Psettodes erumei,67,67
Pseudocaranx dentex,52,60
Pseudochaenichthys georgianus,73,62
Pseudocyttus maculatus,39,53
Pseudopentaceros richardsoni,62,74
Pseudopercis semifasciata,64,68
Pseudophycis bachus,74,71
Pseudopleuronectes americanus,69,67
Pseudopleuronectes herzensteini,47,58
Pseudotolithus elongatus,74,66
Pseudotolithus senegalensis,84,72
Pseudotolithus senegallus,90,77
Pseudupeneus prayensis,67,70
Pterogymnus laniarius,47,55
Pteroscion peli,51,56
Pterothrissus belloci,28,48
Pterygotrigla picta,63,65
Pterygotrigla polyommata,51,64
Pyura chilensis,38,54
Pyura stolonifera,64,70
Rachycentron canadum,61,81
Raja asterias,46,58
Raja brachyura,60,63
Raja clavata,59,64
Raja microocellata,79,75
Raja montagui,61,64
Raja stellulata,46,58
Raja undulata,46,60
Rastrelliger brachysoma,69,80
Rastrelliger kanagurta,50,76
Regalecus glesne,37,70
Reinhardtius hippoglossoides,39,54
Rexea solandri,61,65
Rhabdosargus globiceps,51,56
Rhabdosargus haffara,69,87
Rhabdosargus sarba,88,80
Rhinobatos percellens,60,64
Rhinobatos planiceps,73,66
Rhinochimaera atlantica,38,58
Rhizoprionodon terraenovae,86,87
Rhomboplites aurorubens,74,73
Rhynchobatus djiddensis,71,69
Ruditapes decussatus,50,62
Ruditapes philippinarum,55,64
Ruvettus pretiosus,38,56
Sagmariasus verreauxi,48,60
Salilota australis,59,66
Salmo salar,50,57
Salmo trutta trutta,86,82
Salvelinus alpinus alpinus,71,66
Sarda chiliensis chiliensis,71,77
Sarda chiliensis lineolata,82,83
Sarda orientalis,59,79
Sarda sarda,49,71
Sardina pilchardus,23,53
Sardinella aurita,8,68
Sardinella fimbriata,53,74
Sardinella gibbosa,49,75
Sardinella janeiro,20,72
Sardinella lemuru,45,71
Sardinella longiceps,55,78
Sardinella maderensis,29,73
Sardinella zunasi,61,81
Sardinops sagax,18,60
Sargocentron spiniferum,53,76
Sarpa salpa,33,51
Saurida tumbil,70,69
Saurida undosquamis,25,49
Saxidomus gigantea,59,63
Scapharca cornea,74,72
Scarus ghobban,73,83
Scarus persicus,93,83
Schedophilus ovalis,40,60
Schedophilus pemarco,53,57
Sciaena umbra,59,64
Sciaenops ocellatus,81,74
Scolopsis taeniata,71,86
Scomber australasicus,30,67
Scomber japonicus,30,67
Scomber scombrus,21,57
Scomberesox saurus saurus,37,71
Scomberoides commersonnianus,68,81
Scomberoides lysan,80,85
Scomberoides tol,73,83
Scomberomorus brasiliensis,65,82
Scomberomorus cavalla,55,81
Scomberomorus commerson,75,83
Scomberomorus guttatus,75,83
Scomberomorus lineolatus,83,86
Scomberomorus maculatus,59,85
Scomberomorus niphonius,51,82
Scomberomorus regalis,57,85
Scomberomorus sierra,57,76
Scomberomorus tritor,54,80
Scophthalmus aquosus,60,60
Scophthalmus maximus,61,64
Scophthalmus rhombus,54,61
Scorpaena porcus,39,56
Scorpaena scrofa,20,46
Scorpaenichthys marmoratus,45,57
Scrobicularia plana,51,58
Scyliorhinus canicula,53,76
Scyliorhinus stellaris,38,71
Scylla serrata,37,55
Scyllarides latus,60,68
Scymnodon ringens,49,61
Sebastes alutus,36,52
Sebastes entomelas,34,61
Sebastes flavidus,39,66
Sebastes goodei,30,50
Sebastes marinus,58,62
Sebastes melanops,36,67
Sebastes mentella,37,50
Sebastes paucispinis,46,67
Sebastes pinniger,46,67
Sebastes viviparus,64,64
Sebastolobus alascanus,42,55
Selar crumenophthalmus,58,79
Selaroides leptolepis,54,77
Selene dorsalis,33,54
Selene setapinnis,35,53
Semele solida,52,57
Semicossyphus pulcher,77,85
Sepia officinalis,5,59
Seriola dumerili,61,80
Seriola lalandi,50,59
Seriola quinqueradiata,94,84
Seriolella brama,77,74
Seriolella caerulea,47,56
Seriolella porosa,85,76
Seriolella punctata,73,69
Seriolina nigrofasciata,59,79
Serranus cabrilla,14,46
